"","song.id","bird.id","location","dialect","region","year","distance","duration","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SENEL.song","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","song.bands.OBCZ2000.SNR","song.bands.OBCZ2500.SNR","song.bands.OBCZ3150.SNR","song.bands.OBCZ4000.SNR","song.bands.OBCZ5000.SNR","song.bands.OBCZ6300.SNR","song.bands.OBCZ8000.SNR"
"PR__COMW.019_05500","PR__COMW.019_05500","COMW11_20","COMW","Commonweal","Rural","Y2020",14,2.2,26.281,23.3,19.766,16.824,16.554,14.312,10.936,50.232,58.763,57.917,80.84,27.445,41.894,69.976,73.786,72.625,63.896,43.48,-2.26,15.17,46.786,53.538,52.648,46.16,29.119
"SF__BE__.050_00150","SF__BE__.050_00150","FS4_20","FWSC","San_Fran","Urban","Y2020",5,1.98,37.175,34.819,33.755,34.825,24.534,15.982,20.51,NA,62.207,61.202,75.181,-47.221,-47.321,55.71,71.394,63.632,42.326,36.046,-87.363,-85.106,18.988,33.602,36.132,23.378,12.569
"SF__BE__.050_02350","SF__BE__.050_02350","FS4_20","FWSC","San_Fran","Urban","Y2020",5,1.58,26.94,24.414,25.001,27.904,16.745,7.362,13.826,51.257,60.497,59.554,73.534,52.259,44.805,54.166,70.542,63.615,40.352,35.016,23.332,18.405,27.179,40.651,44.884,31.003,19.203
"SF__BE__.050_03350","SF__BE__.050_03350","FS4_20","FWSC","San_Fran","Urban","Y2020",5,2.28,37.175,34.819,33.755,34.825,24.534,15.982,20.51,51.222,62.65,61.605,75.585,46.049,-47.321,55.632,71.257,62.915,36.852,37.311,5.295,-85.718,18.298,32.853,34.802,17.291,13.222
"SF__BE__.100_00350","SF__BE__.100_00350","FS12_20","FWSC","San_Fran","Urban","Y2020",6,1.78,26.689,33.139,33.259,31.195,26.454,9.869,39.686,NA,55.147,54.247,69.81,36.859,-45.737,-45.637,63.69,64.729,34.463,-43.337,7.666,-81.381,-81.4,29.991,35.771,22.09,-85.527
"SF__BE__.100_01650","SF__BE__.100_01650","FS12_20","FWSC","San_Fran","Urban","Y2020",6,1.88,26.689,33.139,33.259,31.195,26.454,9.869,39.686,43.994,54.292,53.317,68.88,-45.637,-45.737,-45.637,63.554,62.547,34.307,-43.337,-75.068,-81.618,-81.637,29.617,33.352,21.696,-85.764
"SF__BE__.100_02650","SF__BE__.100_02650","FS12_20","FWSC","San_Fran","Urban","Y2020",6,2.08,24.077,29.664,30.77,31.45,26.474,9.961,36.081,46.204,57.362,56.523,72.086,-45.637,-45.737,47.462,65.49,65.861,38.929,53.772,-72.894,-78.581,13.511,30.86,36.206,25.787,14.51
"SF__BE__.100_04050","SF__BE__.100_04050","FS12_20","FWSC","San_Fran","Urban","Y2020",6,2.08,26.689,33.139,33.259,31.195,26.454,9.869,39.686,41.025,62.883,62.022,77.585,-45.637,-45.737,49.64,72.312,69.797,39.414,58.03,-75.507,-82.057,13.201,37.936,40.162,26.364,15.164
"SF__BE__.027_00200","SF__BE__.027_00200","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.82,22.118,20.14,20.48,28.256,23.789,26.893,14.624,NA,62.056,61.266,70.808,-51.658,21.085,48.713,65.444,64.684,44.258,33.034,-76.376,-1.656,25.632,34.587,38.295,14.764,15.809
"SF__BE__.027_01600","SF__BE__.027_01600","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.48,22.118,20.14,20.48,28.256,23.789,26.893,14.624,37.893,61.297,60.447,69.99,23.051,32.128,44.355,66.451,63.383,43.821,32.544,-0.769,10.285,22.172,36.492,37.892,15.226,16.217
"SF__BE__.027_02850","SF__BE__.027_02850","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.54,22.118,20.14,20.48,28.256,23.789,26.893,14.624,41.537,61.105,60.289,69.831,-51.658,30.932,42.988,65.644,63.901,42.786,33.984,-75.651,8.917,20.633,35.513,38.238,14.018,17.485
"SF__BE__.027_03550","SF__BE__.027_03550","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.78,22.118,20.14,20.48,28.256,23.789,26.893,14.624,51.612,60.99,60.157,69.7,-51.658,-51.758,46.614,65.053,62.84,40.999,31.678,-76.28,-74.402,23.63,34.293,36.547,11.602,14.549
"SF__BE__.027_04300","SF__BE__.027_04300","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.98,22.118,20.14,20.48,28.256,23.789,26.893,14.624,51.397,62.775,61.898,71.441,22.345,26.149,48.227,66.979,62.725,45.556,34.869,-2.74,3.042,24.78,35.756,35.97,15.696,17.278
"SF__BE__.026_00900","SF__BE__.026_00900","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.44,23.23,21.103,18.932,17.082,17.883,9.794,7.401,NA,57.827,56.975,66.517,32.702,27.171,44.867,63.133,59.835,42.157,32.837,7.888,4.484,24.352,44.468,40.369,30.779,23.852
"SF__BE__.026_01600","SF__BE__.026_01600","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.48,23.23,21.103,18.932,17.082,17.883,9.794,7.401,49.833,57.889,57.036,66.578,28.041,23.212,44.844,63.089,59.773,40.944,33.838,3.108,0.406,24.21,44.304,40.188,29.447,24.734
"SF__BE__.026_02200","SF__BE__.026_02200","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.32,23.23,21.103,18.932,17.082,17.883,9.794,7.401,49.665,56.53,55.712,65.254,25.717,23.319,46.49,61.658,59.904,40.957,31.14,1.281,1.01,26.353,43.371,40.815,29.957,22.533
"SF__BE__.026_03000","SF__BE__.026_03000","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.66,23.23,21.103,18.932,17.082,17.883,9.794,7.401,48.346,58.772,57.968,67.51,30.042,29.268,45.529,62.842,61.378,42.487,34.237,4.611,5.964,24.396,43.559,41.294,30.491,24.635
"SF__BE__.026_04100","SF__BE__.026_04100","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.74,23.23,21.103,18.932,17.082,17.883,9.794,7.401,47.89,61.931,61.098,70.64,-51.658,-51.758,46.848,66.341,63.261,50.252,36.822,-77.293,-75.266,25.511,46.854,42.973,38.052,27.016
"SF__BE__.026_04900","SF__BE__.026_04900","BW3_20","BATW","San_Fran","Urban","Y2020",3,1.68,23.23,21.103,18.932,17.082,17.883,9.794,7.401,52.259,60.612,59.808,69.35,24.992,-51.758,46.848,64.756,62.891,48.803,36.384,-0.492,-75.114,25.664,45.421,42.756,36.755,26.73
"SF__BE__.030_01700","SF__BE__.030_01700","BW4A_20","BATW","San_Fran","Urban","Y2020",7,1.76,21.157,18.652,16.07,15.412,18.28,7.934,6.784,36.716,48.108,47.362,64.264,28.004,26.324,43.817,57.34,59.59,43.298,30.754,4.392,5.217,25.292,39.473,38.856,32.909,21.515
"SF__BE__.030_07300","SF__BE__.030_07300","BW4A_20","BATW","San_Fran","Urban","Y2020",7,1.78,24.54,23.445,20.093,17.595,19.082,8.64,8.925,36.833,48.85,47.978,64.88,-44.298,26.202,44.739,59.475,58.869,43.232,29.41,-71.342,0.252,22.142,39.376,37.283,32.088,17.981
"SF__BE__.032_04700","SF__BE__.032_04700","BW5_20","BATW","San_Fran","Urban","Y2020",7,2.48,19.481,15.937,14.791,14.521,15.001,9.877,12.681,40.219,54.878,54.091,70.993,-44.298,-44.398,52.241,63.97,63.708,42.248,27.435,-67.724,-64.279,33.505,45.504,44.762,28.426,10.809
"SF__BE__.056_00000","SF__BE__.056_00000","BW8_20","BATW","San_Fran","Urban","Y2020",5,1.98,23.082,22.69,21.873,22.804,13.39,11.958,27.65,NA,69.644,68.744,82.723,33.132,-47.321,58.901,78.62,73.013,46.29,-44.921,7.084,-72.977,34.062,52.849,56.657,31.366,-75.538
"SF__BE__.056_00550","SF__BE__.056_00550","BW8_20","BATW","San_Fran","Urban","Y2020",5,1.82,23.082,22.69,21.873,22.804,13.39,11.958,27.65,NA,65.578,64.664,78.643,29.943,27.11,53.478,75.069,68.69,41.527,-44.921,4.26,1.819,29.005,49.664,52.699,26.969,-75.172
"SF__BE__.056_01200","SF__BE__.056_01200","BW8_20","BATW","San_Fran","Urban","Y2020",5,2.14,23.806,23.033,25.232,29.824,15.679,18.441,32.377,55.621,69.977,69.051,83.031,30.201,24.176,61.149,78.827,71.86,47.205,-44.921,3.091,-2.161,32.613,45.699,52.877,25.459,-80.602
"SF__BE__.022_00940","SF__BE__.022_00940","BW2_20","BATW","San_Fran","Urban","Y2020",14,1.98,26.344,25.4,24.28,22.723,18.781,9.844,11.173,NA,51.875,50.915,73.838,34.199,-38.377,56.531,69.084,65.381,49.384,39.025,4.888,-66.744,29.284,43.395,43.633,36.573,24.885
"SF__BE__.022_01450","SF__BE__.022_01450","BW2_20","BATW","San_Fran","Urban","Y2020",14,1.98,26.344,25.4,24.28,22.723,18.781,9.844,11.173,47.197,52.493,51.573,74.495,41.979,40.809,54.003,69.513,66.801,47.936,39.22,12.668,12.443,26.757,43.823,45.053,35.125,25.08
"SF__BE__.022_04200","SF__BE__.022_04200","BW2_20","BATW","San_Fran","Urban","Y2020",14,1.98,28.999,28.204,28.544,26.516,21.337,12.011,12.385,49.813,57.219,56.304,79.226,33.438,-38.377,60.201,74.467,71.027,51.415,41.591,1.473,-69.548,28.69,44.984,46.723,36.437,26.239
"SF__BE__.055_00220","SF__BE__.055_00220","BW8_20","BATW","San_Fran","Urban","Y2020",13,1.98,27.518,24.881,23.712,25.586,16.206,13.293,22.45,NA,56.825,55.866,78.144,39.697,37.479,56.099,74.271,67.353,42.433,-36.621,9.212,9.632,29.42,45.719,48.181,26.173,-62.038
