"song.id","bird.id","distance","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","location","year"
"SF__BE__.050_02350","FS4_20",5,26.94,24.414,25.001,27.904,16.745,7.362,13.826,51.257,60.497,73.534,52.259,44.805,54.166,70.542,63.615,40.352,35.016,"FWSC","Y2020"
"SF__BE__.050_03350","FS4_20",5,37.175,34.819,33.755,34.825,24.534,15.982,20.51,51.222,62.65,75.585,46.049,-47.321,55.632,71.257,62.915,36.852,37.311,"FWSC","Y2020"
"SF__BE__.100_00350","FS12_20",6,26.689,33.139,33.259,31.195,26.454,9.869,39.686,NA,55.147,69.81,36.859,-45.737,-45.637,63.69,64.729,34.463,-43.337,"FWSC","Y2020"
"SF__BE__.100_01650","FS12_20",6,26.689,33.139,33.259,31.195,26.454,9.869,39.686,43.994,54.292,68.88,-45.637,-45.737,-45.637,63.554,62.547,34.307,-43.337,"FWSC","Y2020"
"SF__BE__.100_02650","FS12_20",6,24.077,29.664,30.77,31.45,26.474,9.961,36.081,46.204,57.362,72.086,-45.637,-45.737,47.462,65.49,65.861,38.929,53.772,"FWSC","Y2020"
"SF__BE__.100_04050","FS12_20",6,26.689,33.139,33.259,31.195,26.454,9.869,39.686,41.025,62.883,77.585,-45.637,-45.737,49.64,72.312,69.797,39.414,58.03,"FWSC","Y2020"
"SF__BE__.027_00200","BW3_20",3,22.118,20.14,20.48,28.256,23.789,26.893,14.624,NA,62.056,70.808,-51.658,21.085,48.713,65.444,64.684,44.258,33.034,"BATW","Y2020"
"SF__BE__.027_01600","BW3_20",3,22.118,20.14,20.48,28.256,23.789,26.893,14.624,37.893,61.297,69.99,23.051,32.128,44.355,66.451,63.383,43.821,32.544,"BATW","Y2020"
"SF__BE__.027_02850","BW3_20",3,22.118,20.14,20.48,28.256,23.789,26.893,14.624,41.537,61.105,69.831,-51.658,30.932,42.988,65.644,63.901,42.786,33.984,"BATW","Y2020"
"SF__BE__.027_03550","BW3_20",3,22.118,20.14,20.48,28.256,23.789,26.893,14.624,51.612,60.99,69.7,-51.658,-51.758,46.614,65.053,62.84,40.999,31.678,"BATW","Y2020"
"SF__BE__.027_04300","BW3_20",3,22.118,20.14,20.48,28.256,23.789,26.893,14.624,51.397,62.775,71.441,22.345,26.149,48.227,66.979,62.725,45.556,34.869,"BATW","Y2020"
"SF__BE__.026_00900","BW3_20",3,23.23,21.103,18.932,17.082,17.883,9.794,7.401,NA,57.827,66.517,32.702,27.171,44.867,63.133,59.835,42.157,32.837,"BATW","Y2020"
"SF__BE__.026_01600","BW3_20",3,23.23,21.103,18.932,17.082,17.883,9.794,7.401,49.833,57.889,66.578,28.041,23.212,44.844,63.089,59.773,40.944,33.838,"BATW","Y2020"
"SF__BE__.026_02200","BW3_20",3,23.23,21.103,18.932,17.082,17.883,9.794,7.401,49.665,56.53,65.254,25.717,23.319,46.49,61.658,59.904,40.957,31.14,"BATW","Y2020"
"SF__BE__.026_03000","BW3_20",3,23.23,21.103,18.932,17.082,17.883,9.794,7.401,48.346,58.772,67.51,30.042,29.268,45.529,62.842,61.378,42.487,34.237,"BATW","Y2020"
"SF__BE__.026_04100","BW3_20",3,23.23,21.103,18.932,17.082,17.883,9.794,7.401,47.89,61.931,70.64,-51.658,-51.758,46.848,66.341,63.261,50.252,36.822,"BATW","Y2020"
"SF__BE__.026_04900","BW3_20",3,23.23,21.103,18.932,17.082,17.883,9.794,7.401,52.259,60.612,69.35,24.992,-51.758,46.848,64.756,62.891,48.803,36.384,"BATW","Y2020"
"SF__BE__.030_01700","BW4A_20",7,21.157,18.652,16.07,15.412,18.28,7.934,6.784,36.716,48.108,64.264,28.004,26.324,43.817,57.34,59.59,43.298,30.754,"BATW","Y2020"
"SF__BE__.030_07300","BW4A_20",7,24.54,23.445,20.093,17.595,19.082,8.64,8.925,36.833,48.85,64.88,-44.298,26.202,44.739,59.475,58.869,43.232,29.41,"BATW","Y2020"
"SF__BE__.032_04700","BW5_20",7,19.481,15.937,14.791,14.521,15.001,9.877,12.681,40.219,54.878,70.993,-44.298,-44.398,52.241,63.97,63.708,42.248,27.435,"BATW","Y2020"
"SF__BE__.056_00000","BW8_20",5,23.082,22.69,21.873,22.804,13.39,11.958,27.65,NA,69.644,82.723,33.132,-47.321,58.901,78.62,73.013,46.29,-44.921,"BATW","Y2020"
"SF__BE__.056_00550","BW8_20",5,23.082,22.69,21.873,22.804,13.39,11.958,27.65,NA,65.578,78.643,29.943,27.11,53.478,75.069,68.69,41.527,-44.921,"BATW","Y2020"
"SF__BE__.056_01200","BW8_20",5,23.806,23.033,25.232,29.824,15.679,18.441,32.377,55.621,69.977,83.031,30.201,24.176,61.149,78.827,71.86,47.205,-44.921,"BATW","Y2020"
"SF__BE__.022_00940","BW2_20",14,26.344,25.4,24.28,22.723,18.781,9.844,11.173,NA,51.875,73.838,34.199,-38.377,56.531,69.084,65.381,49.384,39.025,"BATW","Y2020"
"SF__BE__.022_01450","BW2_20",14,26.344,25.4,24.28,22.723,18.781,9.844,11.173,47.197,52.493,74.495,41.979,40.809,54.003,69.513,66.801,47.936,39.22,"BATW","Y2020"
"SF__BE__.022_04200","BW2_20",14,28.999,28.204,28.544,26.516,21.337,12.011,12.385,49.813,57.219,79.226,33.438,-38.377,60.201,74.467,71.027,51.415,41.591,"BATW","Y2020"
"SF__BE__.055_00220","BW8_20",13,27.518,24.881,23.712,25.586,16.206,13.293,22.45,NA,56.825,78.144,39.697,37.479,56.099,74.271,67.353,42.433,-36.621,"BATW","Y2020"
"SF__LD__.008_00570","LD3_20",13,16.544,16.162,23.396,31.448,24.175,22.551,18.836,NA,46.934,68.26,-38.921,-39.021,49.292,65.355,65.917,43.22,-36.621,"LODU","Y2020"
"SF__LD__.008_02070","LD3_20",13,16.544,16.162,23.396,31.448,24.175,22.551,18.836,36.622,53.158,74.636,30.067,-39.021,49.141,66.425,69.065,53.381,-36.621,"LODU","Y2020"
"SF__LD__.008_03270","LD3_20",13,16.159,16.365,24.525,30.413,23.019,19.416,19.834,35.079,52.184,73.726,27.563,28.086,48.068,64.108,69.232,53.271,-36.621,"LODU","Y2020"
"SF__LD__.008_04590","LD3_20",13,16.159,16.365,24.525,30.413,23.019,19.416,19.834,34.638,52.015,73.528,38.554,37.442,46.428,64.669,68.713,53.126,-36.621,"LODU","Y2020"
"SF__LD__.008_05750","LD3_20",13,16.159,16.365,24.525,30.413,23.019,19.416,19.834,36.749,52.356,73.833,28.06,-39.021,45.193,66.313,68.456,52.774,-36.621,"LODU","Y2020"
"SF__LD__.008_07100","LD3_20",13,16.544,16.162,23.396,31.448,24.175,22.551,18.836,35.453,55.234,76.859,-38.921,-39.021,50.078,65.364,72.618,53.788,-36.621,"LODU","Y2020"
"SF__LD__.008_08350","LD3_20",13,16.544,16.162,23.396,31.448,24.175,22.551,18.836,34.52,51.786,73.263,-38.921,-39.021,47.899,65.005,68.558,52.912,-36.621,"LODU","Y2020"
"SF__LD__.008_09650","LD3_20",13,16.544,16.162,23.396,31.448,24.175,22.551,18.836,33.772,48.592,69.952,-38.921,-39.021,-38.921,59.989,65.88,48.752,-36.621,"LODU","Y2020"
"831_Data.127_21910","COMW_Ubfence_15",7.5,33.965,32.275,32.827,33.696,34.12,33.697,34.684,37.802,61.695,79.095,-42.499,45.814,65.872,73.92,68.106,54.357,-42.499,"COMW","Y2015"
"831_Data.134_01620","COMW_UBA_15",21,30.586,31.524,33.498,33.199,34.249,33.589,34.195,48.122,55.856,81.944,37.82,55.597,63.498,77.076,73.026,59.154,-33.556,"COMW","Y2015"
"831_Data.134_03680","COMW_UBA_15",21,30.586,31.524,33.498,33.199,34.249,33.589,34.195,42.843,55.284,81.259,-33.556,54.586,59.947,75.89,71.714,58.693,35.392,"COMW","Y2015"
"831_Data.134_13810","COMW_UBA_15",21,30.524,31.471,32.29,32.868,34.161,33.556,34.205,31.34,55.424,81.477,-33.556,55.291,64.613,75.938,73.225,55.644,38.962,"COMW","Y2015"
"831_Data.136_02550","COMW_UBB_15",19,30.82,31.749,32.416,33.22,33.621,33.736,34.274,49.846,58.971,84.383,-34.425,46.456,62.928,80.785,69.293,54.952,33.873,"COMW","Y2015"
