"","Bird","Location","year.val","Region","LAeq","LAF90","File.Name"
"831_Data.374","BW_WS_KG","BATW","Y2016","Urban",55.0725,48.9,"831_Data.374"
"831_Data.373","FS_S_GOO","FWSC","Y2016","Urban",55.032,46.9,"831_Data.373"
"831_Data.300","FS_S_KMS","FWSC","Y2016","Urban",55.8634,44.7,"831_Data.300"
"831_Data.301","FS3_16","FWSC","Y2016","Urban",51.1198,41.6,"831_Data.301"
"831_Data.306","FS_KS_Klb","FWSC","Y2016","Urban",55.9403,54.3,"831_Data.306"
"831_Data.341","FS_S_RYG","FWSC","Y2016","Urban",53.9051,43.9,"831_Data.341"
"831_Data.310","LD1_16","LODU","Y2016","Urban",46.0935,40.8,"831_Data.310"
"831_Data.393","BE_MS_RW","BATE","Y2016","Urban",66.3146,62.9,"831_Data.393"
"831_Data.303","FS_WS_RB","FWSC","Y2016","Urban",61.6703,59.6,"831_Data.303"
"831_Data.308","FS_WS_RB","FWSC","Y2016","Urban",52.5672,47,"831_Data.308"
"831_Data.546","COMW_KS_KG","COMW","Y2016","Rural",48.1784,39,"831_Data.546"
"831_Data.547","COMW11_16","COMW","Y2016","Rural",46.4738,42.1,"831_Data.547"
"831_Data.548","COMW_S_ORK","COMW","Y2016","Rural",57.1884,53.4,"831_Data.548"
"831_Data.549","COMW_S_YBY","COMW","Y2016","Rural",53.4191,50.3,"831_Data.549"
"831_Data.550","COMW_S_MRG","COMW","Y2016","Rural",55.612,51.9,"831_Data.550"
"831_Data.551","COMW_KS_MW","COMW","Y2016","Rural",52.9186,45.2,"831_Data.551"
"831_Data.552","COMW16_16","COMW","Y2016","Rural",44.2715,39.1,"831_Data.552"
"831_Data.553","COMW_S_KWR","COMW","Y2016","Rural",53.3923,50.2,"831_Data.553"
"831_Data.558","COMW22_16","COMW","Y2016","Rural",37.9047,31.3,"831_Data.558"
"831_Data.539","COMW5_16","COMW","Y2016","Rural",44.3041,40.4,"831_Data.539"
"831_Data.542","COMW_OS_WW","COMW","Y2016","Rural",39.6453,36.9,"831_Data.542"
"831_Data.543","COMW7_16","COMW","Y2016","Rural",45.812,37.3,"831_Data.543"
"831_Data.545","COMW8_16","COMW","Y2016","Rural",43.7064,38.7,"831_Data.545"
"831_Data.544","COMW_S_RWW","COMW","Y2016","Rural",46.9909,39,"831_Data.544"
"831_Data.235","FF19_16","FOFU","Y2016","Urban",62.7911,53.1,"831_Data.235"
"831_Data.236","FF_OOY_S","FOFU","Y2016","Urban",60.4853,55.9,"831_Data.236"
"831_Data.239","FF_S_KWY","FOFU","Y2016","Urban",47.4291,43.3,"831_Data.239"
"831_Data.252","FF36_16","FOFU","Y2016","Urban",64.0376,52.9,"831_Data.252"
"831_Data.226","FF_S_OKO","FOFU","Y2016","Urban",49.8611,47.6,"831_Data.226"
"831_Data.227","FF_YS_WB","FOFU","Y2016","Urban",52.0633,46.8,"831_Data.227"
"831_Data.229","FF_MO_KS","FOFU","Y2016","Urban",49.8965,46.8,"831_Data.229"
"831_Data.583","LIMA_YS_YG","LIMA","Y2016","Rural",47.1472,44.8,"831_Data.583"
"831_Data.584","LIMA_BS_BY","LIMA","Y2016","Rural",47.8585,45,"831_Data.584"
"831_Data.585","LIMA_WS_RR","LIMA","Y2016","Rural",49.3269,47.2,"831_Data.585"
"831_Data.586","LIMA19_16","LIMA","Y2016","Rural",53.05,48.2,"831_Data.586"
"831_Data.587","LIMA_BS_RB","LIMA","Y2016","Rural",51.7275,49.6,"831_Data.587"
"831_Data.588","LIMA21_16","LIMA","Y2016","Rural",49.9159,47.7,"831_Data.588"
"831_Data.589","LIMA_OS_BY","LIMA","Y2016","Rural",48.213,44.5,"831_Data.589"
"831_Data.590","LIMA_S_YKK","LIMA","Y2016","Rural",42.2508,37.9,"831_Data.590"
"831_Data.396","RICH_MO_WS","RICH","Y2016","Urban",53.2091,49.6,"831_Data.396"
"831_Data.397","RICHBJV2_16","RICH","Y2016","Urban",54.3719,52.1,"831_Data.397"
"831_Data.398","RICHBJV3_16","RICH","Y2016","Urban",52.7023,50.8,"831_Data.398"
"831_Data.257","RICH_WB_BS","RICH","Y2016","Urban",48.2091,46.9,"831_Data.257"
"831_Data.266","RICH10_16","RICH","Y2016","Urban",41.0901,36.1,"831_Data.266"
"831_Data.268","RICH11_16","RICH","Y2016","Urban",49.769,38.9,"831_Data.268"
"831_Data.267","RICH_WS_Ylb","RICH","Y2016","Urban",47.1376,38,"831_Data.267"
"831_Data.258","RICH_YYB_S","RICH","Y2016","Urban",50.2105,45.4,"831_Data.258"
"831_Data.259","RICH_YGO_S","RICH","Y2016","Urban",45.9781,43.3,"831_Data.259"
"831_Data.260","RICH_OYO_S","RICH","Y2016","Urban",48.7718,47,"831_Data.260"
"831_Data.261","RICH_S_lblblb","RICH","Y2016","Urban",49.6822,46.3,"831_Data.261"
"831_Data.262","RICH_BR_YS","RICH","Y2016","Urban",56.1454,48,"831_Data.262"
"831_Data.263","RICH_MKM_S ","RICH","Y2016","Urban",52.9286,42.1,"831_Data.263"
"831_Data.264","RICH_WW_MS","RICH","Y2016","Urban",56.4097,42.5,"831_Data.264"
"831_Data.265","RICH_S_BlbO","RICH","Y2016","Urban",45.7117,39.2,"831_Data.265"
